Datetime,T_ext,T_int,heating_total,cooling_total,cons,prod,GHI
2018-01-14 11:30:00,-18.2878,20.3528,81.93372763617134,0.0,33.95999999999913,0.0,373.07666666666665
2018-01-14 11:45:00,-17.7381,20.4714,81.55310640754371,0.0,35.31999999999971,0.0,346.95
2018-01-14 12:00:00,-17.1418,20.5884,79.78646929412051,0.0,35.44000000000233,0.0,327.9666666666667
2018-01-14 12:15:00,-16.5153,20.6636,84.33971946037924,0.0,35.87999999999738,0.0,386.42333333333335
2018-01-14 12:30:00,-16.1051,20.8094,80.65596566042942,0.0,38.760000000002044,0.0,367.9466666666667
2018-01-14 12:45:00,-15.7171,20.9041,85.58482136165958,0.0,36.399999999997824,0.0,367.9966666666666
2018-01-14 13:00:00,-15.5375,20.983,86.33684085247447,0.0,32.2400000000016,0.0,364.6433333333334
2018-01-14 13:15:00,-15.2848,21.0467,71.93973737765025,0.0,31.119999999998978,0.0,360.0033333333333
2018-01-14 13:30:00,-14.8962,21.1186,72.60662467964094,0.0,31.080000000001746,0.0,348.6500000000001
2018-01-14 13:45:00,-15.6028,21.1744,69.2189602638944,0.0,32.07999999999811,0.0,330.9166666666667
2018-01-14 14:00:00,-15.9234,21.2175,64.2148400090892,0.0,30.720000000001164,0.0,309.0466666666667
2018-01-14 14:15:00,-15.3629,21.2718,26.545776094552078,0.0,34.520000000000444,0.0,285.88666666666666
2018-01-14 14:30:00,-15.1654,21.3229,49.043169369638996,0.0,27.79999999999927,0.0,256.33
2018-01-14 14:45:00,-14.308,21.3411,61.79841898265192,0.0,29.959999999999127,0.0,224.58
2018-01-14 15:00:00,-14.4897,21.3115,67.93246315545521,0.0,31.880000000001022,0.0,185.85
2018-01-14 15:15:00,-15.6541,21.2795,70.45775155858472,0.0,32.239999999997956,0.0,150.07666666666668
2018-01-14 15:30:00,-15.8442,21.2837,69.96088227478992,0.0,33.16000000000349,0.0,114.46666666666664
2018-01-14 15:45:00,-16.2656,21.2779,66.47893696493253,0.0,31.15999999999985,0.0,76.62033333333333
2018-01-14 16:00:00,-17.0421,21.2416,68.54220525197357,0.0,31.67999999999665,0.0,43.495
2018-01-14 16:15:00,-17.6579,21.1893,72.57620994602662,0.0,31.120000000002623,0.0,17.111666666666668
2018-01-14 16:30:00,-17.9705,21.0739,77.62339886559128,0.0,29.079999999998112,0.0,1.53554
2018-01-14 16:45:00,-18.4366,21.0284,10.241535278218592,0.0,19.15999999999985,0.0,0.0
2018-01-14 17:00:00,-18.9362,20.8762,8.086640812921141,0.0,14.680000000000293,0.0,0.0
2018-01-14 17:15:00,-19.4993,20.7165,8.555662143470034,0.0,14.400000000001455,0.0,0.0
2018-01-14 17:30:00,-19.7699,20.5433,9.118479732789849,0.0,12.319999999999707,0.0,0.0
2018-01-14 17:45:00,-20.0079,20.4218,9.516740721579694,0.0,10.0,0.0,0.0
2018-01-14 18:00:00,-20.2379,20.2972,5.973370253487048,0.0,14.0,0.0,0.0
2018-01-14 18:15:00,-20.502,20.2195,7.612882160527742,0.0,14.11999999999898,0.0,0.0
2018-01-14 18:30:00,-20.7888,20.0896,8.415946489868048,0.0,14.319999999999707,0.0,0.0
2018-01-14 18:45:00,-21.1236,20.0038,8.600134175873961,0.0,14.040000000000873,0.0,0.0
2018-01-14 19:00:00,-21.2392,19.8552,8.738051162888564,0.0,14.360000000000582,0.0,0.0
2018-01-14 19:15:00,-21.4139,19.8139,8.909842443285806,0.0,11.079999999998106,0.0,0.0
2018-01-14 19:30:00,-21.5465,19.7075,6.065009838254676,0.0,12.360000000000582,0.0,0.0
2018-01-14 19:45:00,-21.6443,19.6282,5.9600059497818485,0.0,21.12000000000262,0.0,0.0
2018-01-14 20:00:00,-21.608,19.5828,7.89635232475884,0.0,15.279999999998836,0.0,0.0
2018-01-14 20:15:00,-21.6336,19.5304,8.196994715740889,0.0,16.159999999999854,0.0,0.0
2018-01-14 20:30:00,-21.6987,19.4303,8.670413356242982,0.0,17.0,0.0,0.0
2018-01-14 20:45:00,-21.7914,19.3905,8.822644928089668,0.0,14.88000000000102,0.0,0.0
2018-01-14 21:00:00,-21.7979,19.2676,8.834667993518718,0.0,13.19999999999709,0.0,0.0
2018-01-14 21:15:00,-21.8758,19.1843,6.72226522113105,0.0,14.80000000000291,0.0,0.0
2018-01-14 21:30:00,-21.9634,19.1303,6.9245879227798985,0.0,19.0,0.0,0.0
2018-01-14 21:45:00,-22.3001,19.0887,10.244556867915966,0.0,19.039999999997235,0.0,0.0
2018-01-14 22:00:00,-22.7052,19.0537,9.091715935218764,0.0,19.200000000000728,0.0,0.0
2018-01-14 22:15:00,-22.9159,19.0716,12.798234686655064,0.0,19.2400000000016,0.0,0.0
2018-01-14 22:30:00,-22.9427,19.0436,16.203767200739602,0.0,21.119999999998978,0.0,0.0
2018-01-14 22:45:00,-23.0279,19.0368,32.87835081135657,0.0,23.959999999999127,0.0,0.0
2018-01-14 23:00:00,-23.247,19.0495,36.47708937279031,0.0,24.560000000001306,0.0,0.0
2018-01-14 23:15:00,-23.4155,19.0538,38.116980378166545,0.0,25.239999999997963,0.0,0.0
2018-01-14 23:30:00,-23.7766,19.0819,38.14055472910227,0.0,25.640000000003056,0.0,0.0
2018-01-14 23:45:00,-23.9889,19.1538,37.974498955618614,0.0,24.399999999997817,0.0,0.0
